Destinasi,Mean_Similarity,Median_Similarity,Max_Similarity,Min_Similarity,Distinctiveness_Score,Distinctiveness_Pct,Top10_Similar_Dests,Top10_Similar_Scores,Content_Score_raw,Rule_Score,Rule_Score_norm,Content_Score_norm,Hybrid_Score,Rank_Rule,Rank_Content,Rank_Hybrid,Delta_Rank
Embung Nglanggeran,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Grand Puri Waterpark,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Embung Jlamprong,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Taman Jamu Naturindo,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Taman Tebing Breksi,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Ekowisata Nologaten,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Jogja Mini Zoo Exotarium,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Embung Batara Sriten,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Lembah Sorory; Bejiharjo Edupark; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Lembah Sorory,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Bejiharjo Edupark; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Bejiharjo Edupark,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; The Manglung View,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
The Manglung View,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Bendungan Kamijoro,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Wisata Bojong Asri,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Gamplong Studio Alam Sleman,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Ledok Sambi Ecopark,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
De Mangol View,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Waduk Sermo ,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Suraloka Interactive Zoo,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Obelix Village,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Galaxy Waterpark Jogja,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
He Ha Sky View,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Jogja Agro Park ,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Embung Tonogoro ,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Stone Valley,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Agrowisata Bhumi Merapi ,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
The World Landmark Merapi Park,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Kampung Emas,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
Taman Pintar,0.6365457648268423,0.5954672425399976,1.0000000000000002,0.39043621176510923,0.36345423517315767,36.345423517315766,Embung Nglanggeran; Grand Puri Waterpark; Embung Jlamprong; Taman Jamu Naturindo; Taman Tebing Breksi; Ekowisata Nologaten; Jogja Mini Zoo Exotarium; Embung Batara Sriten; Lembah Sorory; Bejiharjo Edupark,1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000; 1.0000,1.0000000000000002,0.0,0.0,1.0,0.4,1,1,1,0
